Id;R;Nome;Squadra;Pg;Mv;Mf;Gf;Gs;Rp;Rc;R+;R-;Ass;Asf;Amm;Esp;Au;Final_Year;Is_First_Season;Squadra_T;Pg_previous_year;Pg_previous_year_2;Mf_previous_year;Mf_previous_year_2;Gf_previous_year;Gf_previous_year_2;Gs_previous_year;Gs_previous_year_2;Rp_previous_year;Rp_previous_year_2;Rc_previous_year;Rc_previous_year_2;R+_previous_year;R+_previous_year_2;R-_previous_year;R-_previous_year_2;Ass_previous_year;Ass_previous_year_2;Asf_previous_year;Asf_previous_year_2;Amm_previous_year;Amm_previous_year_2;Esp_previous_year;Esp_previous_year_2;Au_previous_year;Au_previous_year_2;Mf_predicted
419;D;GONZALEZ G;Bologna;11;5.73;5.73;0;0;0;0;0;0;1;0;2;0;0;2019;FALSE;4;22.0;20.0;5.43;5.38;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;7.0;2.0;2.0;0.0;0.0;5.56
205;C;GORI;Frosinone;7;5.93;5.71;0;0;0;0;0;0;0;0;3;0;0;2019;FALSE;11;27.0;0.0;5.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;1.0;0.0;0.0;0.0;5.64
2160;D;GOSENS;Atalanta;28;6.18;6.54;3;0;0;0;0;0;2;0;2;0;0;2019;FALSE;1;20.0;0.0;6.2;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.12
4355;D;GOZZI;Juventus;1;5.0;5.0;0;0;0;0;0;0;0;0;0;0;0;2019;TRUE;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.77
2840;A;GRAICIAR;Fiorentina;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;TRUE;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.02
27;C;GRASSI;Parma;6;5.83;5.83;0;0;0;0;0;0;0;0;0;0;0;2019;FALSE;26;28.0;15.0;6.38;6.03;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;5.97
4358;A;GRUBAC;Chievo;3;5.17;5.0;0;0;0;0;0;0;0;0;1;0;0;2019;TRUE;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.84
317;P;GUERRIERI;Lazio;1;5.5;2.5;0;3;0;0;0;0;0;0;0;0;0;2019;FALSE;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.64
2758;D;GUNTER;Genoa;12;5.67;5.62;0;0;0;0;0;0;0;0;1;0;0;2019;TRUE;13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.42
2774;C;HALILOVIC;Milan;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;TRUE;14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.92
626;C;HALLFREDSSON;Udinese;8;5.5;5.75;1;0;0;0;0;0;0;0;2;0;0;2019;FALSE;7;16.0;27.0;5.5;5.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;5.0;10.0;0.0;0.0;1.0;0.0;5.77
402;C;HAMSIK;Napoli;13;5.85;5.81;0;0;0;0;0;0;0;0;1;0;0;2019;FALSE;3;38.0;38.0;6.58;7.47;7.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;6.07
2146;A;HAN;Cagliari;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;FALSE;23;5.0;3.0;5.7;7.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.91
2754;D;HANCKO;Fiorentina;4;5.88;6.12;0;0;0;0;0;0;1;0;0;0;0;2019;TRUE;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.71
250;P;HANDANOVIC;Inter;38;6.18;5.32;0;33;0;0;0;0;0;0;0;0;0;2019;FALSE;16;38.0;37.0;5.45;5.03;0.0;0.0;30.0;47.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;1.0;5.45
